"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	63
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	109
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	103
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	56
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	40
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	68
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	16
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	19
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	26
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	10
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	100
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	138
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	180
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	82
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	45
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	50
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	22
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	26
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	35
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	33
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	20
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	71
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	207
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	312
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	138
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	51
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	18
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	49
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	55
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	46
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	26
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	148
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	346
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	506
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	358
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	171
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	22
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	65
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	123
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	153
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	96
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	62
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	89
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	428
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	615
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	268
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	131
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	19
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	17
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	15
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	84
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	97
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	93
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	59
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	49
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	49
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	13
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	28
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	27
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	20
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	15
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	18
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	44
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	80
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	116
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	68
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	46
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	28
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	33
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	100
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	159
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	82
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	26
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	11
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	12
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	46
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	71
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	84
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	44
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	45
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	46
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	101
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	101
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	62
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	33
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	12
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	44
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	128
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	197
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	111
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	75
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	14
	"New York County, NY"	"36061"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"New York County, NY"	"36061"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
	"New York County, NY"	"36061"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	Suppressed
	"New York County, NY"	"36061"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	Suppressed
	"New York County, NY"	"36061"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	Suppressed
	"New York County, NY"	"36061"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"New York County, NY"	"36061"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	29
	"New York County, NY"	"36061"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	85
	"New York County, NY"	"36061"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	174
	"New York County, NY"	"36061"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	84
	"New York County, NY"	"36061"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	20
	"New York County, NY"	"36061"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	20
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	40
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	46
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	33
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	19
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	50
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	113
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	114
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	53
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	43
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"New York County, NY"	"36061"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	40
	"New York County, NY"	"36061"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	83
	"New York County, NY"	"36061"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"21 to 30 pounds"	"3"	144
	"New York County, NY"	"36061"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"31 to 40 pounds"	"4"	71
	"New York County, NY"	"36061"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"41 to 98 pounds"	"5"	39
	"New York County, NY"	"36061"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Unknown or Not Stated"	"9"	Suppressed
	"New York County, NY"	"36061"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Less than 11 pounds"	"1"	37
	"New York County, NY"	"36061"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"11 to 20 pounds"	"2"	140
	"New York County, NY"	"36061"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"21 to 30 pounds"	"3"	335
	"New York County, NY"	"36061"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"31 to 40 pounds"	"4"	207
	"New York County, NY"	"36061"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"41 to 98 pounds"	"5"	60
	"New York County, NY"	"36061"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Unknown or Not Stated"	"9"	Suppressed
	"Niagara County, NY"	"36063"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Less than 11 pounds"	"1"	Suppressed
	"Niagara County, NY"	"36063"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"11 to 20 pounds"	"2"	Suppressed
